hostel_id,hostel_name,hostel_type,verified,year_established,area,city,hostel_address,latitude,longitude,distance_from_fast_km,transport_nearby,price_tier,single_room_price,double_room_price,dorm_room_price,electricity_included,electricity_bill_est,meal_included,food_type,food_rating,room_types_available,total_rooms,capacity,available_rooms,amenities,has_wifi,has_gym,has_study_room,has_cafeteria,has_laundry,has_ac,has_generator,has_security_guard,has_cctv,has_hot_water,has_library,has_parking,has_prayer_room,has_common_room,internet_speed_mbps,noise_level,curfew_hour,study_environment_score,overall_rating,cleanliness_rating,security_rating,management_rating,warden_responsiveness,total_reviews,warden_contact_phone,amenity_richness,safety_score,value_score,comfort_score,price_norm,distance_norm,rating_norm,study_norm,internet_norm,noise_norm,food_encoded,curfew_norm
HST-001,Fatima Girls Hostel,Girls,0,2008,I-8,Islamabad,"House 103, Street 15, I-8, Islamabad",33.672965,73.056834,3.12,1,Mid-Range,17426,14578,9135,1,0,0,Non-Veg,2.0,"[""Single"", ""Double""]",16,48,13,"[""Lounge"", ""Water Cooler"", ""Cafeteria"", ""Security Guard"", ""Library"", ""Parking"", ""Generator"", ""Study Room"", ""Gym"", ""Iron""]",0,1,1,1,0,0,1,1,0,0,1,1,0,0,50,4,22,0.76,3.1,3.5,2.5,3.1,3.1,110,0317-7397986,0.5,0.475,0.572504707152361,0.24499999999999997,0.7072693412455415,0.5171232876712328,0.0,0.7578947368421052,0.23076923076923075,0.25,0.66,0.6
HST-002,Khadija Residence,Girls,1,2007,G-13,Islamabad,"House 190, Street 4, G-13, Islamabad",33.651849,73.024696,2.82,1,Premium,33534,22629,14798,1,0,1,Both,4.4,"[""Single"", ""Double""]",42,126,2,"[""Laundry"", ""CCTV"", ""Gym"", ""Rooftop Access"", ""Study Room"", ""Refrigerator"", ""Security Guard"", ""Generator"", ""Library"", ""WiFi"", ""Lounge"", ""Common Room"", ""AC"", ""Hot Water""]",1,1,1,0,1,1,1,1,1,1,1,0,0,1,100,4,21,0.96,4.5,4.1,4.8,4.6,2.9,105,0332-4747389,0.7857142857142857,0.9899999999999999,0.7173413286184105,0.937,0.19882579464032069,0.5684931506849316,1.0,0.9684210526315787,0.4871794871794871,0.25,1.0,0.4
HST-003,Zainab Girls Inn,Girls,1,2017,Korang Town,Islamabad,"House 27, Main Boulevard, Korang Town, Islamabad",33.637132,73.092608,3.95,0,Mid-Range,18134,14977,10625,0,462,0,,,"[""Single"", ""Double"", ""Triple""]",48,192,5,"[""Parking"", ""Hot Water"", ""WiFi"", ""AC"", ""Microwave"", ""Security Guard"", ""Laundry""]",1,0,0,0,1,1,0,1,0,1,0,1,0,0,50,4,20,0.25,4.1,4.7,3.8,4.5,3.0,141,0342-6895544,0.42857142857142855,0.64,0.6475212942606812,0.9790000000000001,0.684921561819387,0.375,0.714285714285714,0.22105263157894736,0.23076923076923075,0.25,0.0,0.2
HST-004,Maryam Hostel,Girls,1,2020,PWD,Islamabad,"House 118, Commercial Avenue, PWD, Islamabad",33.597221,73.066199,4.77,0,Budget,9495,7136,5853,0,494,0,,,"[""Single"", ""Double"", ""Dormitory"", ""Triple""]",43,86,5,"[""AC"", ""Parking"", ""Security Guard"", ""Study Room""]",0,0,1,0,0,1,0,1,0,0,0,1,0,0,10,5,23,0.44,3.6,3.4,3.1,4.5,3.8,7,0315-2661909,0.2857142857142857,0.605,0.5980402466009876,0.488,0.9576086613427606,0.23458904109589052,0.3571428571428572,0.42105263157894735,0.02564102564102564,0.0,0.0,0.8
HST-005,Aisha Girls Lodge,Girls,1,2007,G-13,Islamabad,"House 148, Street 7, G-13, Islamabad",33.65326,73.017202,2.77,0,Mid-Range,14843,9488,9976,0,737,1,Non-Veg,4.2,"[""Single"", ""Double""]",49,147,13,"[""Water Cooler"", ""Refrigerator"", ""Rooftop Access"", ""Security Guard"", ""Cafeteria"", ""Prayer Room"", ""CCTV"", ""Parking"", ""Library""]",0,0,0,1,0,0,0,1,1,0,1,1,1,0,50,4,21,0.37,3.7,4.4,4.1,2.7,3.2,58,0329-6946594,0.42857142857142855,0.9549999999999998,0.6240452819091133,0.308,0.7888008585587576,0.577054794520548,0.4285714285714288,0.34736842105263155,0.23076923076923075,0.25,0.66,0.4
HST-006,Noor Girls Hostel,Girls,0,2007,G-11,Islamabad,"House 142, Street 1, G-11, Islamabad",33.66152,72.977243,2.07,0,Budget,11987,7527,5919,0,327,1,Veg,3.9,"[""Single"", ""Double"", ""Dormitory""]",33,132,0,"[""Water Cooler"", ""Hot Water"", ""Iron"", ""AC"", ""Generator"", ""Study Room"", ""WiFi""]",1,0,1,0,0,1,1,0,0,1,0,0,0,0,15,1,20,0.67,4.1,4.9,4.8,3.4,2.3,132,0338-9519981,0.35714285714285715,0.24,0.6569565794334202,0.793,0.8789495281083299,0.696917808219178,0.714285714285714,0.6631578947368421,0.05128205128205129,1.0,0.33,0.2
HST-007,Hira Girls Residency,Girls,1,2021,H-13,Islamabad,"House 174, Park Road, H-13, Islamabad",33.630568,73.014362,1.46,1,Budget,12014,8901,5686,0,585,0,,,"[""Single"", ""Double""]",32,96,14,"[""Common Room"", ""CCTV"", ""Microwave"", ""Security Guard""]",0,0,0,0,0,0,0,1,1,0,0,0,0,1,15,2,23,0.08,3.5,4.7,3.3,3.4,2.4,105,0331-1118834,0.21428571428571427,0.9149999999999999,0.5539638705882775,0.329,0.8780972822827562,0.8013698630136987,0.2857142857142856,0.042105263157894736,0.05128205128205129,0.75,0.0,0.8
HST-008,Sana Girls Hostel,Girls,1,2018,H-11,Islamabad,"House 196, Main Boulevard, H-11, Islamabad",33.649379,72.990515,0.97,0,Premium,26142,21966,17799,1,0,0,,,"[""Single"", ""Double"", ""Dormitory""]",23,46,11,"[""Iron"", ""Gym"", ""Study Room"", ""Generator"", ""Rooftop Access"", ""Water Cooler"", ""Library"", ""Parking"", ""CCTV"", ""Laundry"", ""Security Guard"", ""Prayer Room"", ""Hot Water"", ""WiFi"", ""Microwave""]",1,1,1,0,1,0,1,1,1,1,1,1,1,0,100,1,20,0.99,3.6,2.6,3.9,2.9,1.1,89,0337-2748014,0.7857142857142857,0.945,0.6644562835552718,0.5820000000000001,0.43215176288627255,0.8852739726027398,0.3571428571428572,0.9999999999999999,0.4871794871794871,1.0,0.0,0.2
HST-009,Rabia Girls Inn,Girls,1,2014,I-8,Islamabad,"House 10, University Road, I-8, Islamabad",33.668463,73.059647,3.02,1,Premium,24849,22390,17905,1,0,0,Non-Veg,4.9,"[""Single"", ""Double"", ""Triple""]",44,132,18,"[""AC"", ""Refrigerator"", ""Hot Water"", ""Cafeteria"", ""CCTV"", ""Security Guard"", ""Rooftop Access"", ""Gym"", ""Water Cooler"", ""Parking"", ""Lounge"", ""Library"", ""Common Room"", ""WiFi""]",1,1,0,1,0,1,0,1,1,1,1,1,0,1,50,3,21,0.56,3.2,2.7,2.8,2.5,2.1,62,0332-4763024,0.7142857142857143,0.8899999999999999,0.60951981666314,0.639,0.4729648685331902,0.5342465753424658,0.07142857142857162,0.5473684210526316,0.23076923076923075,0.5,0.66,0.4
HST-010,Bushra Girls Hostel,Girls,1,2023,F-10,Islamabad,"House 21, College Road, F-10, Islamabad",33.698483,72.974366,2.73,1,Premium,33657,20988,13504,1,0,0,,,"[""Single"", ""Double"", ""Dormitory""]",16,32,4,"[""Microwave"", ""AC"", ""Laundry"", ""Prayer Room"", ""CCTV"", ""Water Cooler"", ""Rooftop Access"", ""Library"", ""Hot Water"", ""Security Guard""]",0,0,0,0,1,1,0,1,1,1,1,0,1,0,200,4,20,0.37,3.8,3.5,2.5,4.8,2.2,29,0337-4621581,0.5,0.8749999999999999,0.5610094645143474,0.895,0.19494334143492953,0.5839041095890412,0.5,0.34736842105263155,0.9999999999999999,0.25,0.0,0.2
